,asin,meta,Title,Author
597,0195038630,"{'ISBN-13': '9780195038637', 'Title': 'Battle Cry Of Freedom: The Civil War Era', 'Authors': ['James M. McPherson'], 'Publisher': 'Oxford University Press', 'Year': '1988', 'Language': 'eng'}",Battle Cry Of Freedom: The Civil War Era,James M. McPherson
598,0195067142,"{'ISBN-13': '9780195067149', 'Title': 'With The Old Breed, At Peleliu And Okinawa', 'Authors': ['E.B. Sledge', '[with a new introduction by Paul Fussell]'], 'Publisher': 'Oxford University Press', 'Year': '1990', 'Language': 'eng'}","With The Old Breed, At Peleliu And Okinawa",E.B. Sledge
599,0198326769,"{'ISBN-13': '9780198326762', 'Title': 'The Boy In The Striped Pyjamas: A Fable', 'Authors': ['by John Boyne'], 'Publisher': 'Oxford University Press', 'Year': '2007', 'Language': 'eng'}",The Boy In The Striped Pyjamas: A Fable,by John Boyne
600,0199538794,"{'ISBN-13': '9780199538799', 'Title': 'The Lost World', 'Authors': ['Arthur Conan Doyle'], 'Publisher': 'Oxford University Press', 'Year': '2008', 'Language': 'eng'}",The Lost World,Arthur Conan Doyle
601,020530902X,"{'ISBN-13': '9780205309023', 'Title': 'The Elements Of Style With Revisions, An Introduction, And A Chapter On Writing', 'Authors': ['by William Strunk Jr., E.B. White'], 'Publisher': 'Longman', 'Year': '2000', 'Language': 'eng'}","The Elements Of Style With Revisions, An Introduction, And A Chapter On Writing","by William Strunk Jr., E.B. White"
602,0224042963,"{'ISBN-13': '9780224042963', 'Title': 'Fall on Your Knees', 'Authors': ['A. Macdonald'], 'Publisher': 'Jonathan Cape', 'Year': '1996', 'Language': ''}",Fall on Your Knees,A. Macdonald
603,0224098101,"{'ISBN-13': '9780224098106', 'Title': 'Bridget Jones Mad About The Boy', 'Authors': ['Helen Fielding'], 'Publisher': 'Jonathan Cape', 'Year': '2013', 'Language': 'eng'}",Bridget Jones Mad About The Boy,Helen Fielding
604,0226320553,"{'ISBN-13': '9780226320557', 'Title': 'The Road To Serfdom Texts And Documents', 'Authors': ['F.A. Hayek', 'edited by Bruce Caldwell'], 'Publisher': 'University of Chicago press', 'Year': '2007', 'Language': 'eng'}",The Road To Serfdom Texts And Documents,F.A. Hayek
605,0230014801,"{'ISBN-13': '9780230014800', 'Title': 'T Is For Trespass', 'Authors': ['Sue Grafton'], 'Publisher': 'Macmillan', 'Year': '2007', 'Language': 'eng'}",T Is For Trespass,Sue Grafton
606,023070932X,"{'ISBN-13': '9780230709324', 'Title': 'U Is For Undertow', 'Authors': ['by Sue Grafton'], 'Publisher': 'Macmillan', 'Year': '2010', 'Language': 'eng'}",U Is For Undertow,by Sue Grafton
607,0230755062,"{'ISBN-13': '9780230755062', 'Title': 'The Language Of Flowers', 'Authors': ['Vanessa Diffenbaugh'], 'Publisher': 'Macmillan', 'Year': '2011', 'Language': 'eng'}",The Language Of Flowers,Vanessa Diffenbaugh
608,023076651X,"{'ISBN-13': '9780230766518', 'Title': 'The $100 Startup: How To Fire Your Boss And Create A New Future', 'Authors': ['by Chris Guillebeau'], 'Publisher': 'Macmillan', 'Year': '2012', 'Language': 'eng'}",The $100 Startup: How To Fire Your Boss And Create A New Future,by Chris Guillebeau
609,023076889X,"{'ISBN-13': '9780230768895', 'Title': ""The Boys In The Boat: An Epic True-Life Journey To The Heart Of Hitler's Berlin"", 'Authors': ['Daniel James Brown'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'eng'}",The Boys In The Boat: An Epic True-Life Journey To The Heart Of Hitler's Berlin,Daniel James Brown
610,0230769152,"{'ISBN-13': '9780230769151', 'Title': 'W Is For Wasted', 'Authors': ['Sue Grafton'], 'Publisher': 'Mantle', 'Year': '2013', 'Language': 'eng'}",W Is For Wasted,Sue Grafton
611,0261103288,"{'ISBN-13': '9780261103283', 'Title': 'The Hobbit: Or There And Back Again', 'Authors': ['by J.R.R. Tolkien', '[foreword by Christopher Tolkien]'], 'Publisher': 'HarperCollins Publishers', 'Year': '2007', 'Language': 'eng'}",The Hobbit: Or There And Back Again,by J.R.R. Tolkien
612,0263211053,"{'ISBN-13': '9780263211054', 'Title': 'One Tiny Miracle', 'Authors': ['Carol Marinelli'], 'Publisher': 'Mills & Boon', 'Year': '2010', 'Language': 'eng'}",One Tiny Miracle,Carol Marinelli
613,0263873080,"{'ISBN-13': '9780263873085', 'Title': 'The New Deputy In Town', 'Authors': ['B. J. Daniels'], 'Publisher': 'Mills & Boon', 'Year': '2009', 'Language': 'eng'}",The New Deputy In Town,B. J. Daniels
614,0263873668,"{'ISBN-13': '9780263873665', 'Title': 'Married By Mistake', 'Authors': ['Abby Gaines'], 'Publisher': 'Mills & Boon', 'Year': '2009', 'Language': 'eng'}",Married By Mistake,Abby Gaines
615,0263899403,"{'ISBN-13': '9780263899405', 'Title': 'Waking Up Married', 'Authors': ['Mira Lyn Kelly'], 'Publisher': 'Mills & Boon', 'Year': '2013', 'Language': 'eng'}",Waking Up Married,Mira Lyn Kelly
616,029764680X,"{'ISBN-13': '9780297646808', 'Title': 'Endurance', 'Authors': ['Alfred Lansing', 'photography by Frank Hurley'], 'Publisher': 'Weidenfeld & Nicolson', 'Year': '2000', 'Language': 'eng'}",Endurance,Alfred Lansing
617,0297863924,"{'ISBN-13': '9780297863922', 'Title': 'Mission To Paris', 'Authors': ['Alan Furst'], 'Publisher': 'Weidenfeld & Nicolson', 'Year': '2012', 'Language': 'eng'}",Mission To Paris,Alan Furst
618,0300098588,"{'ISBN-13': '9780300098587', 'Title': 'The Autobiography Of Benjamin Franklin', 'Authors': ['ed. by Leonard W. Labaree .̤'], 'Publisher': 'Yale Univ. Press', 'Year': '2003', 'Language': 'eng'}",The Autobiography Of Benjamin Franklin,ed. by Leonard W. Labaree .̤
619,0306817950,"{'ISBN-13': '9780306817953', 'Title': ""When I Married My Mother: A Daughter's Search For What Really Matters And--How She Found It Caring For Mama Jo"", 'Authors': ['Jo Maeder'], 'Publisher': 'Da Capo Press', 'Year': '2009', 'Language': 'eng'}",When I Married My Mother: A Daughter's Search For What Really Matters And--How She Found It Caring For Mama Jo,Jo Maeder
620,0307010856,"{'ISBN-13': '9780307010858', 'Title': 'The Monster At The End Of This Book', 'Authors': ['written by Jon Stone', 'illustrated by Mike Smollin'], 'Publisher': ""Western Pub. in conjuction with Children's Television Workshop"", 'Year': '1996', 'Language': 'eng'}",The Monster At The End Of This Book,written by Jon Stone
621,0307237699,"{'ISBN-13': '9780307237699', 'Title': 'The Audacity Of Hope Thoughts On Reclaiming The American Dream', 'Authors': ['Barack Obama'], 'Publisher': 'Crown Publishers', 'Year': '2006', 'Language': 'eng'}",The Audacity Of Hope Thoughts On Reclaiming The American Dream,Barack Obama
622,0307245306,"{'ISBN-13': '9780307245304', 'Title': 'The Lightning Thief', 'Authors': ['by Rick Riordan'], 'Publisher': 'Listening Library/Random House Audio', 'Year': '2005', 'Language': 'eng'}",The Lightning Thief,by Rick Riordan
623,0307263991,"{'ISBN-13': '9780307263995', 'Title': 'Swamplandia!', 'Authors': ['Karen Russell'], 'Publisher': 'Alfred A. Knopf', 'Year': '2011', 'Language': 'eng'}",Swamplandia!,Karen Russell
624,0307264556,"{'ISBN-13': '9780307264558', 'Title': 'I Feel Bad About My Neck: And Other Thoughts On Being A Woman', 'Authors': ['Nora Ephron'], 'Publisher': 'Alfred A. Knopf', 'Year': '2007', 'Language': 'eng'}",I Feel Bad About My Neck: And Other Thoughts On Being A Woman,Nora Ephron
625,0307264882,"{'ISBN-13': '9780307264886', 'Title': 'Beloved', 'Authors': ['Toni Morrison', 'with an introduction by A.S. Byatt'], 'Publisher': ""Everyman's Library"", 'Year': '2004', 'Language': 'eng'}",Beloved,Toni Morrison
626,0307265439,"{'ISBN-13': '9780307265432', 'Title': 'The Road', 'Authors': ['Cormac McCarthy'], 'Publisher': 'Alfred A. Knopf', 'Year': '2007', 'Language': 'eng'}",The Road,Cormac McCarthy
627,0307265749,"{'ISBN-13': '9780307265746', 'Title': 'The Lowland: A Novel', 'Authors': ['Jhumpa Lahiri'], 'Publisher': 'Random House Inc', 'Year': '2013', 'Language': 'eng'}",The Lowland: A Novel,Jhumpa Lahiri
628,0307265773,"{'ISBN-13': '9780307265777', 'Title': 'Expanded Books Interview', 'Authors': ['Expanded Books'], 'Publisher': 'Expanded Books', 'Year': '2006', 'Language': 'eng'}",Expanded Books Interview,Expanded Books
629,0307266303,"{'ISBN-13': '9780307266309', 'Title': 'Born To Run: A Hidden Tribe, Superathletes, And The Greatest Race The World Has Never Seen', 'Authors': ['Christopher McDougall'], 'Publisher': 'Alfred A. Knopf', 'Year': '2009', 'Language': 'eng'}","Born To Run: A Hidden Tribe, Superathletes, And The Greatest Race The World Has Never Seen",Christopher McDougall
630,0307267148,"{'ISBN-13': '9780307267146', 'Title': 'Half The Sky: Turning Oppression Into Opportunity For Women Worldwide', 'Authors': ['Nicholas D. Kristof and Sheryl WuDunn'], 'Publisher': 'Alfred A. Knopf', 'Year': '2009', 'Language': 'eng'}",Half The Sky: Turning Oppression Into Opportunity For Women Worldwide,Nicholas D. Kristof and Sheryl WuDunn
631,030726999X,"{'ISBN-13': '9780307269997', 'Title': ""The Girl Who Kicked The Hornet's Nest"", 'Authors': ['by Stieg Larsson', 'translated from the Swedish by Reg Keeland'], 'Publisher': 'Alfred A. Knopf', 'Year': '2010', 'Language': 'eng'}",The Girl Who Kicked The Hornet's Nest,by Stieg Larsson
632,0307271080,"{'ISBN-13': '9780307271082', 'Title': 'Americanah: A Novel', 'Authors': ['Chimamanda Ngozi Adichie'], 'Publisher': 'Knopf', 'Year': '2013', 'Language': 'eng'}",Americanah: A Novel,Chimamanda Ngozi Adichie
633,0307272583,"{'ISBN-13': '9780307272584', 'Title': 'Star Island', 'Authors': ['Carl Hiaasen'], 'Publisher': 'Alfred A. Knopf', 'Year': '2010', 'Language': 'eng'}",Star Island,Carl Hiaasen
634,0307272591,"{'ISBN-13': '9780307272591', 'Title': 'Bad Monkey', 'Authors': ['Carl Hiaasen'], 'Publisher': 'Knopf Doubleday Publishing Group', 'Year': '2013', 'Language': 'eng'}",Bad Monkey,Carl Hiaasen
635,0307272702,"{'ISBN-13': '9780307272706', 'Title': 'Why We Get Fat And What To Do About It', 'Authors': ['Gary Taubes'], 'Publisher': 'Alfred A. Knopf', 'Year': '2011', 'Language': 'eng'}",Why We Get Fat And What To Do About It,Gary Taubes
636,0307273563,"{'ISBN-13': '9780307273567', 'Title': 'Minding Frankie', 'Authors': ['Maeve Binchy'], 'Publisher': 'Alfred A. Knopf', 'Year': '2011', 'Language': 'eng'}",Minding Frankie,Maeve Binchy
637,0307273571,"{'ISBN-13': '9780307273574', 'Title': 'A Week In Winter', 'Authors': ['Maeve Binchy'], 'Publisher': 'Alfred A. Knopf', 'Year': '2013', 'Language': 'eng'}",A Week In Winter,Maeve Binchy
638,0307275132,"{'ISBN-13': '9780307275134', 'Title': 'Empire Falls', 'Authors': ['Richard Russo'], 'Publisher': 'Vintage Books', 'Year': '19uu', 'Language': 'eng'}",Empire Falls,Richard Russo
639,0307275167,"{'ISBN-13': '9780307275165', 'Title': 'Memoirs Of A Geisha: A Novel', 'Authors': ['Arthur Golden'], 'Publisher': 'Vintage Books', 'Year': '2005', 'Language': 'eng'}",Memoirs Of A Geisha: A Novel,Arthur Golden
640,0307275558,"{'ISBN-13': '9780307275554', 'Title': 'The Devil Wears Prada', 'Authors': ['Lauren Weisberger'], 'Publisher': 'Anchor Books', 'Year': '2006', 'Language': 'eng'}",The Devil Wears Prada,Lauren Weisberger
641,0307275639,"{'ISBN-13': '9780307275639', 'Title': ""Tuesdays With Morrie: An Old Man, A Young Man And Life's Greatest Lesson"", 'Authors': ['Mitch Albom'], 'Publisher': 'Anchor Books', 'Year': '2007', 'Language': 'eng'}","Tuesdays With Morrie: An Old Man, A Young Man And Life's Greatest Lesson",Mitch Albom
642,0307276902,"{'ISBN-13': '9780307276902', 'Title': 'A Million Little Pieces', 'Authors': ['James Frey'], 'Publisher': 'Random House', 'Year': '2003', 'Language': 'eng'}",A Million Little Pieces,James Frey
643,0307277674,"{'ISBN-13': '9780307277671', 'Title': 'The Da Vinci Code: A Novel', 'Authors': ['Dan Brown'], 'Publisher': 'Anchor Books, (a div. of Random House)', 'Year': '2003', 'Language': 'eng'}",The Da Vinci Code: A Novel,Dan Brown
644,0307277690,"{'ISBN-13': '9780307277695', 'Title': 'My Life In France', 'Authors': [""Julia Child with Alex Prud'Homme""], 'Publisher': 'Anchor Books', 'Year': '2007', 'Language': 'eng'}",My Life In France,Julia Child with Alex Prud'Homme
645,0307277887,"{'ISBN-13': '9780307277886', 'Title': 'Darkly Dreaming Dexter', 'Authors': ['by Jeffry Lindsay'], 'Publisher': 'Vintage Crime/Black Lizard', 'Year': '2006', 'Language': 'eng'}",Darkly Dreaming Dexter,by Jeffry Lindsay
646,030727828X,"{'ISBN-13': '9780307278289', 'Title': 'The Ruins: A Novel', 'Authors': ['Scott Smith'], 'Publisher': 'Vintage Books', 'Year': '2007', 'Language': 'eng'}",The Ruins: A Novel,Scott Smith
647,0307278441,"{'ISBN-13': '9780307278449', 'Title': 'The Bluest Eye: A Novel', 'Authors': ['Toni Morrison', '[with a foreword by the author]'], 'Publisher': 'Vintage International', 'Year': '2007', 'Language': 'eng'}",The Bluest Eye: A Novel,Toni Morrison
648,0307279464,"{'ISBN-13': '9780307279460', 'Title': ""Reader's Voice Book Club Kit For A Walk In The Woods By Bill Bryson"", 'Authors': ['Bill Bryson'], 'Publisher': 'Bismarck Public Library', 'Year': '2010', 'Language': 'eng'}",Reader's Voice Book Club Kit For A Walk In The Woods By Bill Bryson,Bill Bryson
649,0307279936,"{'ISBN-13': '9780307279934', 'Title': 'The Emperor Of Ocean Park', 'Authors': ['Stephen L. Carter'], 'Publisher': 'Vintage Books', 'Year': '2007', 'Language': 'eng'}",The Emperor Of Ocean Park,Stephen L. Carter
650,0307280721,"{'ISBN-13': '9780307280725', 'Title': 'Eldest', 'Authors': ['Christopher Paolini'], 'Publisher': 'Audio Adventures', 'Year': '2005', 'Language': 'eng'}",Eldest,Christopher Paolini
651,030728090X,"{'ISBN-13': '9780307280909', 'Title': 'Twilight', 'Authors': ['by Stephanie Meyer'], 'Publisher': 'Listening Library/Random House Audio', 'Year': '2005', 'Language': 'eng'}",Twilight,by Stephanie Meyer
652,0307281698,"{'ISBN-13': '9780307281692', 'Title': 'Where The Red Fern Grows', 'Authors': ['Wilson Rawls'], 'Publisher': 'Listening Library', 'Year': '2005', 'Language': 'eng'}",Where The Red Fern Grows,Wilson Rawls
653,0307282694,"{'ISBN-13': '9780307282699', 'Title': 'Gregor The Overlander', 'Authors': ['Suzanne Collins'], 'Publisher': 'Listening Library', 'Year': '2005', 'Language': 'eng'}",Gregor The Overlander,Suzanne Collins
654,030728364X,"{'ISBN-13': '9780307283641', 'Title': 'Harry Potter And The Half-Blood Prince', 'Authors': ['J.K. Rowling', 'read by Jim Dale'], 'Publisher': 'Listening Library', 'Year': '2006', 'Language': 'eng'}",Harry Potter And The Half-Blood Prince,J.K. Rowling
656,0307292134,"{'ISBN-13': '9780307292131', 'Title': 'A Game Of Thrones: Book One Of A Song Of Ice And Fire', 'Authors': ['George R.R. Martin'], 'Publisher': 'Bantam Books', 'Year': '2011', 'Language': 'eng'}",A Game Of Thrones: Book One Of A Song Of Ice And Fire,George R.R. Martin
657,0307337332,"{'ISBN-13': '9780307337337', 'Title': ""Cesar's Way: The Natural, Everyday Guide To Understanding And Correcting Common Dog Problems"", 'Authors': ['Cesar Millan with Melissa Jo Peltier'], 'Publisher': 'Harmony Books', 'Year': '2006', 'Language': 'eng'}","Cesar's Way: The Natural, Everyday Guide To Understanding And Correcting Common Dog Problems",Cesar Millan with Melissa Jo Peltier
658,0307341542,"{'ISBN-13': '9780307341549', 'Title': 'Sharp Objects: A Novel', 'Authors': ['Gillian Flynn'], 'Publisher': 'Shaye Areheart Books', 'Year': '2006', 'Language': 'eng'}",Sharp Objects: A Novel,Gillian Flynn
659,0307341569,"{'ISBN-13': '9780307341563', 'Title': 'Dark Places', 'Authors': ['Gillian Flynn'], 'Publisher': 'Shaye Areheart Books', 'Year': '2009', 'Language': 'eng'}",Dark Places,Gillian Flynn
660,0307346609,"{'ISBN-13': '9780307346605', 'Title': 'World War Z: An Oral History Of The Zombie War', 'Authors': ['Max Brooks'], 'Publisher': 'Crown', 'Year': '2006', 'Language': 'eng'}",World War Z: An Oral History Of The Zombie War,Max Brooks
661,0307352145,"{'ISBN-13': '9780307352149', 'Title': ""Quiet: The Power Of Introverts In A World That Can't Stop Talking"", 'Authors': ['Susan Cain'], 'Publisher': 'Crown Publishers', 'Year': '2012', 'Language': 'eng'}",Quiet: The Power Of Introverts In A World That Can't Stop Talking,Susan Cain
662,0307353133,"{'ISBN-13': '9780307353139', 'Title': 'The 4-Hour Workweek: Escape 9-5, Live Anywhere, And Join The New Rich', 'Authors': ['Timothy Ferriss'], 'Publisher': 'Crown Publishers', 'Year': '2007', 'Language': 'eng'}","The 4-Hour Workweek: Escape 9-5, Live Anywhere, And Join The New Rich",Timothy Ferriss
663,0307353486,"{'ISBN-13': '9780307353481', 'Title': 'Demonic: How The Liberal Mob Is Endangering America', 'Authors': ['Ann Coulter'], 'Publisher': 'Crown Forum', 'Year': '2011', 'Language': 'eng'}",Demonic: How The Liberal Mob Is Endangering America,Ann Coulter
664,0307358666,"{'ISBN-13': '9780307358660', 'Title': 'The Snowman', 'Authors': ['Jo Nesbø', 'translated from the Norwegian by Don Bartlett'], 'Publisher': 'Vintage Canada', 'Year': '2011', 'Language': 'eng'}",The Snowman,Jo Nesbø
665,0307360814,"{'ISBN-13': '9780307360816', 'Title': 'The Sense Of An Ending', 'Authors': ['Julian Barnes'], 'Publisher': 'Random House Canada', 'Year': '2011', 'Language': 'eng'}",The Sense Of An Ending,Julian Barnes
666,030737839X,"{'ISBN-13': '9780307378392', 'Title': 'The Saturday Big Tent Wedding Party', 'Authors': ['Alexander McCall Smith'], 'Publisher': 'Pantheon Books', 'Year': '2011', 'Language': 'eng'}",The Saturday Big Tent Wedding Party,Alexander McCall Smith
667,0307378403,"{'ISBN-13': '9780307378408', 'Title': 'The Limpopo Academy Of Private Detection', 'Authors': ['Alexander McCall Smith'], 'Publisher': 'Pantheon Books', 'Year': '2012', 'Language': 'eng'}",The Limpopo Academy Of Private Detection,Alexander McCall Smith
668,0307378411,"{'ISBN-13': '9780307378415', 'Title': 'The Minor Adjustment Beauty Salon', 'Authors': ['Alexander McCall Smith'], 'Publisher': 'Random House Inc', 'Year': '2013', 'Language': 'eng'}",The Minor Adjustment Beauty Salon,Alexander McCall Smith
669,030738246X,"{'ISBN-13': '9780307382467', 'Title': 'The Black Count: Glory, Revolution, Betrayal, And The Real Count Of Monte Cristo', 'Authors': ['Tom Reiss', '[maps by David Lindroth Inc.]'], 'Publisher': 'Crown Trade', 'Year': '2012', 'Language': 'eng'}","The Black Count: Glory, Revolution, Betrayal, And The Real Count Of Monte Cristo",Tom Reiss
670,0307383415,"{'ISBN-13': '9780307383419', 'Title': 'Dreams From My Father: A Story Of Race And Inheritance', 'Authors': ['Barack Obama'], 'Publisher': 'Crown Publishers', 'Year': '2004', 'Language': 'eng'}",Dreams From My Father: A Story Of Race And Inheritance,Barack Obama
671,030738604X,"{'ISBN-13': '9780307386045', 'Title': 'Where Men Win Glory: The Odyssey Of Pat Tillman', 'Authors': ['Jon Krakauer'], 'Publisher': 'Anchor Books', 'Year': '2010', 'Language': 'eng'}",Where Men Win Glory: The Odyssey Of Pat Tillman,Jon Krakauer
672,0307386171,"{'ISBN-13': '9780307386175', 'Title': 'On Chesil Beach: A Novel', 'Authors': ['Ian McEwan'], 'Publisher': 'Anchor Books', 'Year': '2008', 'Language': 'eng'}",On Chesil Beach: A Novel,Ian McEwan
673,0307387135,"{'ISBN-13': '9780307387134', 'Title': 'No Country For Old Men', 'Authors': ['Cormac McCarthy'], 'Publisher': 'Vintage International/Vintage Books', 'Year': '2007', 'Language': 'eng'}",No Country For Old Men,Cormac McCarthy
674,0307387178,"{'ISBN-13': '9780307387172', 'Title': 'Into The Wild', 'Authors': ['Jon Krakauer'], 'Publisher': 'Anchor Books', 'Year': '2007', 'Language': 'eng'}",Into The Wild,Jon Krakauer
675,0307387941,"{'ISBN-13': '9780307387943', 'Title': 'Zeitoun', 'Authors': ['Dave Eggers'], 'Publisher': 'Vintage Books', 'Year': '2010', 'Language': 'eng'}",Zeitoun,Dave Eggers
676,0307387992,"{'ISBN-13': '9780307387998', 'Title': ""French Women Don't Get Fat"", 'Authors': ['Mireille Guiliano'], 'Publisher': 'Vintage Books', 'Year': '2007', 'Language': 'eng'}",French Women Don't Get Fat,Mireille Guiliano
677,0307388670,"{'ISBN-13': '9780307388674', 'Title': 'The Gargoyle', 'Authors': ['Andrew Davidson'], 'Publisher': 'Anchor Books', 'Year': '2009', 'Language': 'eng'}",The Gargoyle,Andrew Davidson
678,0307388921,"{'ISBN-13': '9780307388926', 'Title': 'Choke: A Novel', 'Authors': ['Chuck Palahniuk'], 'Publisher': 'Anchor Books', 'Year': '2008', 'Language': 'eng'}",Choke: A Novel,Chuck Palahniuk
679,0307395987,"{'ISBN-13': '9780307395986', 'Title': ""Look Me In The Eye: My Life With Asperger's"", 'Authors': ['John Elder Robison'], 'Publisher': 'Crown Publishers', 'Year': '2007', 'Language': 'eng'}",Look Me In The Eye: My Life With Asperger's,John Elder Robison
680,0307406105,"{'ISBN-13': '9780307406101', 'Title': 'Infected: A Novel', 'Authors': ['Scott Sigler'], 'Publisher': 'Crown Publishers', 'Year': '2008', 'Language': 'eng'}",Infected: A Novel,Scott Sigler
681,0307408841,"{'ISBN-13': '9780307408846', 'Title': ""In The Garden Of Beasts: Love, Terror, And An American Family In Hitler's Berlin"", 'Authors': ['Erik Larson'], 'Publisher': 'Crown Pub. Group (NY)', 'Year': '2011', 'Language': 'eng'}","In The Garden Of Beasts: Love, Terror, And An American Family In Hitler's Berlin",Erik Larson
682,0307409120,"{'ISBN-13': '9780307409126', 'Title': ""Cleopatra's Daughter: A Novel"", 'Authors': ['Michelle Moran'], 'Publisher': 'Crown Publishers', 'Year': '2009', 'Language': 'eng'}",Cleopatra's Daughter: A Novel,Michelle Moran
683,0307452360,"{'ISBN-13': '9780307452368', 'Title': 'Pope Joan: A Novel', 'Authors': ['Donna Woolfolk Cross'], 'Publisher': 'Three Rivers Press', 'Year': '2009', 'Language': 'eng'}",Pope Joan: A Novel,Donna Woolfolk Cross
684,0307454894,"{'ISBN-13': '9780307454898', 'Title': 'The Reader', 'Authors': ['Bernhard Schlink', 'translated from the German by Carol Brown Janeway'], 'Publisher': 'Vintage Books', 'Year': '2008', 'Language': 'eng'}",The Reader,Bernhard Schlink
685,0307455475,"{'ISBN-13': '9780307455475', 'Title': 'The Year Of The Flood: A Novel', 'Authors': ['Margaret Atwood'], 'Publisher': 'Anchor Books', 'Year': '2010', 'Language': 'eng'}",The Year Of The Flood: A Novel,Margaret Atwood
686,0307456625,"{'ISBN-13': '9780307456625', 'Title': ""The No. 1 Ladies' Detective Agency"", 'Authors': ['Alexander McCall Smith'], 'Publisher': 'Anchor Books', 'Year': '2009', 'Language': 'eng'}",The No. 1 Ladies' Detective Agency,Alexander McCall Smith
687,0307458857,"{'ISBN-13': '9780307458858', 'Title': 'A Sound Among The Trees: A Novel', 'Authors': ['Susan Meissner'], 'Publisher': 'Waterbrook Press', 'Year': '2011', 'Language': 'eng'}",A Sound Among The Trees: A Novel,Susan Meissner
688,0307460185,"{'ISBN-13': '9780307460189', 'Title': ""The Baker's Daughter. ; A Novel"", 'Authors': ['Sarah McCoy'], 'Publisher': 'Crown Publishing Group', 'Year': '2012', 'Language': 'eng'}",The Baker's Daughter. ; A Novel,Sarah McCoy
689,0307460983,"{'ISBN-13': '9780307460981', 'Title': 'Drift: The Unmooring Of American Military Power', 'Authors': ['Rachel Maddow'], 'Publisher': 'Crown', 'Year': '2012', 'Language': 'eng'}",Drift: The Unmooring Of American Military Power,Rachel Maddow
690,0307461351,"{'ISBN-13': '9780307461353', 'Title': ""In The President's Secret Service: Behind The Scenes With Agents In The Line Of Fire And The Presidents They Protect"", 'Authors': ['Ronald Kessler'], 'Publisher': 'Crown Publishers', 'Year': '2009', 'Language': 'eng'}",In The President's Secret Service: Behind The Scenes With Agents In The Line Of Fire And The Presidents They Protect,Ronald Kessler
691,030746363X,"{'ISBN-13': '9780307463630', 'Title': 'The 4-Hour Body: An Uncommon Guide To Rapid Fat-Loss, Incredible Sex, And Becoming Superhuman', 'Authors': ['Timothy Ferriss'], 'Publisher': 'Crown Archetype', 'Year': '2010', 'Language': 'eng'}","The 4-Hour Body: An Uncommon Guide To Rapid Fat-Loss, Incredible Sex, And Becoming Superhuman",Timothy Ferriss
692,0307463745,"{'ISBN-13': '9780307463746', 'Title': 'Rework', 'Authors': ['Jason Fried & David Heinemeier Hansson'], 'Publisher': 'Crown Business', 'Year': '2010', 'Language': 'eng'}",Rework,Jason Fried & David Heinemeier Hansson
693,0307464873,"{'ISBN-13': '9780307464873', 'Title': 'Barefoot Contessa Foolproof', 'Authors': ['Ina Garten'], 'Publisher': 'Clarkson Potter/Publishers', 'Year': '2012', 'Language': 'eng'}",Barefoot Contessa Foolproof,Ina Garten
694,0307465357,"{'ISBN-13': '9780307465351', 'Title': 'The 4-Hour Workweek: Escape 9-5, Live Anywhere, And Join The New Rich', 'Authors': ['Timothy Ferriss'], 'Publisher': 'Crown Publishers', 'Year': '2009', 'Language': 'eng'}","The 4-Hour Workweek: Escape 9-5, Live Anywhere, And Join The New Rich",Timothy Ferriss
695,0307473740,"{'ISBN-13': '9780307473745', 'Title': 'The Third Gate: A Novel', 'Authors': ['Lincoln Child'], 'Publisher': 'Anchor Books', 'Year': '2013', 'Language': 'eng'}",The Third Gate: A Novel,Lincoln Child
696,0307474712,"{'ISBN-13': '9780307474711', 'Title': 'One Day', 'Authors': ['David Nicholls'], 'Publisher': 'Vintage Books', 'Year': '2010', 'Language': 'eng'}",One Day,David Nicholls
697,0307474844,"{'ISBN-13': '9780307474841', 'Title': 'Push: A Novel', 'Authors': ['by Sapphire'], 'Publisher': 'Vintage Contemporaries', 'Year': '2009', 'Language': 'eng'}",Push: A Novel,by Sapphire
698,0307475255,"{'ISBN-13': '9780307475251', 'Title': 'Into Thin Air: A Personal Account Of The Mount Everest Disaster', 'Authors': ['Jon Krakauer'], 'Publisher': 'Anchor Books', 'Year': '2009', 'Language': 'eng'}",Into Thin Air: A Personal Account Of The Mount Everest Disaster,Jon Krakauer
699,0307476073,"{'ISBN-13': '9780307476074', 'Title': 'Wild: From Lost To Found On The Pacific Crest Trail', 'Authors': ['Cheryl Strayed'], 'Publisher': 'Vintage Books', 'Year': '2013', 'Language': 'eng'}",Wild: From Lost To Found On The Pacific Crest Trail,Cheryl Strayed
700,0307476464,"{'ISBN-13': '9780307476463', 'Title': '1Q84: Novel', 'Authors': ['Haruki Murakami', 'translated by Jay Rubin and Philip Gabriel'], 'Publisher': 'Vintage Books', 'Year': '2013', 'Language': 'eng'}",1Q84: Novel,Haruki Murakami
701,0307477479,"{'ISBN-13': '9780307477477', 'Title': 'A Visit From The Goon Squad', 'Authors': ['Jennifer Egan'], 'Publisher': 'Anchor Books', 'Year': '2011', 'Language': 'eng'}",A Visit From The Goon Squad,Jennifer Egan
702,0307576531,"{'ISBN-13': '9780307576538', 'Title': 'Under The Wide And Starry Sky A Novel', 'Authors': ['Nancy Horan'], 'Publisher': 'Random House Audio', 'Year': '2013', 'Language': 'eng'}",Under The Wide And Starry Sky A Novel,Nancy Horan
